policy_id,policy_name,source,publish_date,region,valid_until,target_industry,target_stage,subsidy_amount,requirements,materials_needed,application_url
P001,高新技术企业认定,科技部火炬中心,2024-01-15,全国,2027-01-14,全行业,成长期,企业所得税减按15%征收,"核心知识产权≥1项；科技人员占比≥10%；研发费用占比≥3%；高新技术产品收入占比≥60%","知识产权证书；近三年审计报告；研发项目立项报告；科技人员名单；高新产品收入证明",https://www.innocom.gov.cn/
P002,科技型中小企业评价,科技部,2024-03-01,全国,2027-02-28,全行业,初创期,研发费用加计扣除100%,"职工总数≤500人；年销售收入≤2亿元；资产总额≤2亿元；科技人员占比≥10%","企业基本信息表；上年度财务报表；科技人员名单；研发活动说明",https://www.innocom.gov.cn/
P003,专精特新中小企业认定,工信部,2024-06-01,全国,2027-05-31,制造业/信息技术,成长期,最高100万元奖励,"成立满2年；营收≥1000万；研发占比≥3%；主导产品市场占有率省内前列","企业资质申请表；近2年审计报告；市场占有率证明；研发项目清单；知识产权证书",https://www.miit.gov.cn/
P004,上海市创业补贴,上海市人社局,2024-02-20,上海,2026-12-31,全行业,初创期,首次创业一次性补贴8000元,"在本市注册3年内；首次创业；正常经营满6个月；缴纳社保满6个月","创业补贴申请表；营业执照；社保缴费证明；经营场所证明",https://rsj.sh.gov.cn/
P005,场地租金补贴,上海市徐汇区商务委,2024-04-01,上海/徐汇,2026-03-31,科技/文创,初创期,最高30万元/年,"在徐汇区注册并实际办公；成立≤3年；员工≤100人；租赁面积≤500㎡","租赁协议；场地证明；企业注册证明；员工社保名单；上年度财务报表",https://www.xh.sh.gov.cn/
P006,上海市人工智能算力券,上海市经信委,2024-05-01,上海,2026-12-31,人工智能,全阶段,最高100万元算力补贴,"从事AI相关研发或应用；在上海注册；有明确的算力使用需求；与认证算力服务商合作","算力券申请表；AI项目计划书；算力需求说明；服务商合作协议；企业基本信息",https://jxj.sh.gov.cn/
P007,上海市大模型券,上海市经信委,2024-08-01,上海,2026-12-31,人工智能,全阶段,最高200万元,"从事大模型研发或应用；在上海注册；有明确的大模型应用方向；符合伦理审查要求","大模型券申请表；模型技术方案；应用场景说明；伦理审查报告；团队核心成员简历",https://jxj.sh.gov.cn/
P008,技术合同认定登记,科技部,2023-11-01,全国,2028-10-31,全行业,全阶段,技术交易额免税,"签订技术开发/转让/咨询/服务合同；合同金额≥10万元；技术内容真实有效","技术合同原件；合同双方营业执照；技术说明；合同认定登记表",https://www.chinatorch.gov.cn/
P009,知识产权贯标认证,国家知识产权局,2024-01-01,全国,2027-12-31,全行业,成长期,最高10万元奖励,"建立知识产权管理体系；通过第三方认证；拥有有效专利或软件著作权","知识产权管理体系文件；认证报告；专利/软著清单；贯标工作总结",https://www.cnipa.gov.cn/
P010,上海市科技小巨人工程,上海市科委,2024-03-15,上海,2027-03-14,高新技术,成长期,最高150万元资助,"年营收≥5000万；研发占比≥5%；拥有核心自主知识产权；市场占有率较高","科技小巨人申请表；近3年审计报告；核心知识产权证明；市场占有率证明；研发项目清单",https://stcsm.sh.gov.cn/
P011,徐汇区人工智能产业发展专项资金,徐汇区科委,2024-07-01,上海/徐汇,2026-06-30,人工智能,全阶段,最高300万元,"在徐汇区注册纳税；从事AI核心技术或应用研发；有明确的产业化方向","专项资金申请表；项目计划书；近2年审计报告；核心团队介绍；落地计划书",https://www.xh.sh.gov.cn/
P012,上海市人才引进落户,上海市人社局,2024-01-01,上海,长期,全行业,全阶段,落户资格,"重点机构工作；本科及以上学历；缴纳社保满规定期限；符合年龄条件","落户申请表；学历学位证书；社保缴费证明；劳动合同；企业资质证明",https://rsj.sh.gov.cn/
P013,漕河泾开发区创新创业扶持,漕河泾开发区管委会,2024-05-15,上海/徐汇/漕河泾,2026-05-14,信息技术/生物医药/人工智能,初创期,最高50万元,"在漕河泾园区注册办公；成立≤5年；属于重点扶持产业；有明确的产品或服务","扶持申请表；园区入驻证明；商业计划书；团队介绍；产品/服务说明",https://www.caohejing.com/
P014,上海市首版次软件产品,上海市经信委,2024-06-01,上海,2026-12-31,软件/信息技术,成长期,最高200万元,"自主研发的软件产品；首次发布≤2年；具有自主知识产权；产品质量检测合格","首版次申请表；软件著作权证书；产品质量检测报告；用户使用报告；研发过程文档",https://jxj.sh.gov.cn/
